age,generation,population_in_thousands,population
0,other,816.9110000000001,816911.0
1,other,824.1610000000001,824161.0
2,other,825.8885,825888.5
3,other,841.7864999999999,841786.4999999999
4,other,874.5374999999999,874537.4999999999
5,other,923.8530000000001,923853.0000000001
6,other,974.8820000000001,974882.0000000001
7,other,992.8705,992870.5
8,other,1006.963,1006963.0
9,other,1021.24,1021240.0
10,other,1028.0785,1028078.5000000001
11,other,1045.3155,1045315.4999999999
12,other,1063.1035000000002,1063103.5000000002
13,other,1078.083,1078083.0
14,other,1088.894,1088894.0
15,other,1090.711,1090711.0
16,other,1084.5059999999999,1084505.9999999998
17,other,1093.022,1093022.0
18,other,1118.7705,1118770.5
19,other,1145.3075,1145307.5
20,other,1171.8944999999999,1171894.4999999998
21,other,1198.7935,1198793.5
22,other,1207.018,1207018.0
23,other,1208.481,1208481.0
24,other,1217.4279999999999,1217428.0
25,other,1220.6995,1220699.5
26,other,1215.5365000000002,1215536.5000000002
27,other,1225.5439999999999,1225543.9999999998
28,other,1225.208,1225208.0
29,other,1211.4540000000002,1211454.0000000002
30,other,1225.9940000000001,1225994.0000000002
31,other,1232.9335,1232933.5
32,other,1246.8555000000001,1246855.5000000002
33,other,1286.614,1286614.0
34,other,1319.601,1319601.0
35,other,1327.0525,1327052.5
36,other,1353.1055000000001,1353105.5000000002
37,other,1396.261,1396261.0
38,other,1420.909,1420909.0
39,other,1432.906,1432906.0
40,Lost generation,1444.5535,1444553.5
41,Lost generation,1489.464,1489464.0
42,Lost generation,1553.4740000000002,1553474.0000000002
43,Lost generation,1613.893,1613893.0
44,Lost generation,1672.7465,1672746.5
45,Lost generation,1733.6844999999998,1733684.4999999998
46,Lost generation,1810.614,1810614.0
47,Lost generation,1905.9595,1905959.5
48,Lost generation,1986.881,1986881.0
49,Lost generation,1982.2725,1982272.5
50,Lost generation,1917.53,1917530.0
51,Lost generation,1854.6225,1854622.5
52,other,1802.4455,1802445.5
53,other,1777.4145,1777414.5
54,other,1797.9955,1797995.5
55,other,1582.814,1582814.0
56,other,1510.2005,1510200.5
57,other,1656.5185000000001,1656518.5000000002
58,other,1603.7514999999999,1603751.4999999998
59,other,1542.3110000000001,1542311.0000000002
60,other,1496.1145000000001,1496114.5000000002
61,other,1472.422,1472422.0
62,other,1466.7714999999998,1466771.4999999998
63,other,1469.926,1469926.0
64,other,1432.1385,1432138.5
65,other,1419.6905000000002,1419690.5000000002
66,other,1472.0214999999998,1472021.4999999998
67,other,1490.344,1490344.0
68,other,1505.475,1505475.0
69,other,1567.6585,1567658.5
70,other,1651.3495,1651349.5
71,Babyboomers,1753.627,1753627.0
72,Babyboomers,1941.8995,1941899.5
73,Babyboomers,2077.8230000000003,2077823.0000000002
74,Babyboomers,2029.084,2029084.0
75,Babyboomers,1682.364,1682364.0
76,Babyboomers,1304.578,1304578.0
77,Babyboomers,1310.5405,1310540.5
78,other,1424.5729999999999,1424572.9999999998
79,other,1436.3584999999998,1436358.4999999998
80,other,1414.42,1414420.0
81,other,1320.5435,1320543.5
82,other,1144.7225,1144722.5
83,other,1028.4524999999999,1028452.4999999999
84,other,1005.662,1005662.0
85,other,982.688,982688.0
86,other,919.1175000000001,919117.5000000001
87,other,824.902,824902.0
88,other,735.04,735040.0
89,other,652.8465,652846.5
90,other,571.2055,571205.5
91,other,490.331,490331.0
92,other,414.616,414616.0
93,other,349.033,349033.0
94,other,290.8405,290840.5
95,other,239.088,239088.0
96,other,189.0525,189052.5
97,other,141.605,141605.0
98,other,102.555,102555.0
99,other,72.6665,72666.5
100,other,135.226,135226.0
