age,generation,population_in_thousands,population
0,other,645.5645,645564.5
1,other,650.3725,650372.5
2,other,655.362,655362.0
3,other,660.235,660235.0
4,other,665.346,665346.0
5,other,671.5174999999999,671517.4999999999
6,other,681.2625,681262.5
7,other,691.3305,691330.5
8,other,698.881,698881.0
9,other,706.2535,706253.5
10,other,715.117,715117.0
11,other,724.313,724313.0
12,other,734.2639999999999,734263.9999999999
13,other,744.7525,744752.5
14,other,754.5105000000001,754510.5000000001
15,other,764.4165,764416.5
16,other,773.9110000000001,773911.0
17,other,784.7059999999999,784705.9999999999
18,other,796.429,796429.0
19,other,805.6085,805608.5
20,other,813.6415,813641.5
21,other,820.763,820763.0
22,other,827.5515,827551.5
23,other,834.8835,834883.5
24,other,843.0844999999999,843084.4999999999
25,other,851.591,851591.0
26,other,857.716,857716.0
27,other,861.783,861783.0
28,other,866.0715,866071.5
29,other,870.23,870230.0
30,other,873.7415000000001,873741.5000000001
31,other,876.7325000000001,876732.5000000001
32,other,879.4945,879494.5
33,other,881.1855,881185.5
34,other,880.8235,880823.5
35,other,883.2845,883284.5
36,other,886.172,886172.0
37,other,887.219,887219.0
38,other,890.7565,890756.5
39,other,898.0885,898088.5
40,other,899.8389999999999,899839.0
41,other,915.5799999999999,915579.9999999999
42,other,948.002,948002.0
43,other,996.7805000000001,996780.5000000001
44,other,1047.1525,1047152.4999999999
45,other,1064.663,1064663.0
46,other,1078.2075,1078207.5
47,other,1091.8049999999998,1091804.9999999998
48,other,1097.8919999999998,1097891.9999999998
49,other,1114.05,1114050.0
50,other,1130.4904999999999,1130490.5
51,other,1143.806,1143806.0
52,other,1152.5394999999999,1152539.4999999998
53,other,1151.8555000000001,1151855.5000000002
54,other,1142.684,1142684.0
55,other,1147.2730000000001,1147273.0000000002
56,other,1168.0115,1168011.5
57,other,1188.8005,1188800.5
58,other,1208.9935,1208993.5
59,other,1228.8764999999999,1228876.4999999998
60,other,1230.1215,1230121.5
61,other,1224.412,1224412.0
62,other,1225.5765000000001,1225576.5000000002
63,other,1220.933,1220933.0
64,other,1207.94,1207940.0
65,other,1209.1105,1209110.5
66,other,1200.112,1200112.0
67,other,1178.1219999999998,1178121.9999999998
68,other,1182.4675,1182467.5
69,other,1179.3494999999998,1179349.4999999998
70,other,1182.26,1182260.0
71,other,1208.2665,1208266.5
72,other,1227.0700000000002,1227070.0000000002
73,other,1221.7415,1221741.5
74,other,1232.289,1232289.0
75,other,1256.7585,1256758.5
76,other,1263.1485,1263148.5
77,other,1256.835,1256835.0
78,Lost generation,1248.3555,1248355.5
79,Lost generation,1265.4409999999998,1265440.9999999998
80,Lost generation,1294.679,1294679.0
81,Lost generation,1316.1280000000002,1316128.0000000002
82,Lost generation,1330.8155,1330815.5
83,Lost generation,1340.7175,1340717.5
84,Lost generation,1355.2489999999998,1355248.9999999998
85,Lost generation,1373.7495,1373749.5
86,Lost generation,1370.9895000000001,1370989.5000000002
87,Lost generation,1300.618,1300618.0
88,Lost generation,1186.5985,1186598.5
89,Lost generation,1072.5104999999999,1072510.4999999998
90,other,963.725,963725.0
91,other,867.6915,867691.5
92,other,790.871,790871.0
93,other,618.586,618586.0
94,other,513.6315,513631.49999999994
95,other,481.87249999999995,481872.49999999994
96,other,389.7565,389756.5
97,other,305.5375,305537.5
98,other,234.975,234975.0
99,other,177.7765,177776.5
100,Babyboomers,398.4005,398400.5
