age,generation,population_in_thousands,population
0,other,790.9235000000001,790923.5000000001
1,other,795.587,795587.0
2,other,799.637,799637.0
3,other,804.0355,804035.5
4,other,809.171,809171.0
5,other,814.56,814560.0
6,other,817.579,817579.0
7,other,818.601,818601.0
8,other,819.9580000000001,819958.0000000001
9,other,821.3325,821332.5
10,other,822.235,822235.0
11,other,822.8340000000001,822834.0000000001
12,other,823.4825000000001,823482.5000000001
13,other,823.4235,823423.5
14,other,821.7755,821775.5
15,other,823.5275,823527.5
16,other,826.3415,826341.5
17,other,827.9655,827965.5
18,other,832.73,832730.0
19,other,841.896,841896.0
20,other,845.9549999999999,845954.9999999999
21,other,864.4905,864490.5
22,other,900.1245,900124.5
23,other,952.4655,952465.5
24,other,1006.5955,1006595.5
25,other,1027.7645,1027764.5
26,other,1044.9945,1044994.5
27,other,1062.3,1062300.0
28,other,1072.033,1072033.0
29,other,1091.909,1091909.0
30,other,1112.0415,1112041.5
31,other,1128.993,1128993.0
32,other,1141.308,1141308.0
33,other,1144.089,1144089.0
34,other,1138.237,1138237.0
35,other,1146.3505,1146350.5
36,other,1170.9470000000001,1170947.0
37,other,1195.7255,1195725.5
38,other,1220.0385,1220038.5
39,other,1244.229,1244229.0
40,other,1249.5135,1249513.5
41,other,1247.8125,1247812.5
42,other,1253.3635,1253363.5
43,other,1253.1675,1253167.5
44,other,1244.5405,1244540.5
45,other,1250.905,1250905.0
46,other,1247.004,1247004.0
47,other,1229.8359999999998,1229835.9999999998
48,other,1240.6695,1240669.5
49,other,1243.983,1243983.0
50,other,1254.1715,1254171.5
51,other,1289.7715,1289771.5
52,other,1318.575,1318575.0
53,other,1322.1335,1322133.5
54,other,1343.8325,1343832.5
55,other,1382.1039999999998,1382103.9999999998
56,other,1402.0165000000002,1402016.5000000002
57,other,1409.3539999999998,1409353.9999999998
58,Lost generation,1416.1325,1416132.5
59,Lost generation,1454.8665,1454866.5
60,Lost generation,1511.5555,1511555.5
61,Lost generation,1564.086,1564086.0
62,Lost generation,1614.362,1614362.0
63,Lost generation,1665.7955,1665795.5
64,Lost generation,1731.5524999999998,1731552.4999999998
65,Lost generation,1813.5905,1813590.5
66,Lost generation,1880.4830000000002,1880483.0000000002
67,Lost generation,1865.5365000000002,1865536.5000000002
68,Lost generation,1793.674,1793674.0
69,Lost generation,1723.4535,1723453.5
70,other,1663.038,1663038.0
71,other,1627.112,1627112.0
72,other,1631.9074999999998,1631907.4999999998
73,other,1423.8545,1423854.5
74,other,1344.4805000000001,1344480.5000000002
75,other,1458.112,1458112.0
76,other,1394.2069999999999,1394206.9999999998
77,other,1322.4515000000001,1322451.5000000002
78,other,1263.063,1263063.0
79,other,1221.1574999999998,1221157.4999999998
80,other,1191.8845000000001,1191884.5
81,other,1166.7735,1166773.5
82,other,1106.605,1106605.0
83,other,1063.119,1063119.0
84,other,1063.2545,1063254.5
85,other,1032.5735,1032573.5
86,other,994.03,994030.0
87,other,978.8385000000001,978838.5000000001
88,other,966.5565,966556.5
89,Babyboomers,952.1655000000001,952165.5000000001
90,Babyboomers,966.7235000000001,966723.5
91,Babyboomers,937.325,937325.0
92,Babyboomers,817.527,817527.0
93,Babyboomers,596.4925000000001,596492.5000000001
94,Babyboomers,400.08,400080.0
95,Babyboomers,341.032,341032.0
96,other,307.9015,307901.5
97,other,251.48749999999998,251487.49999999997
98,other,195.42499999999998,195424.99999999997
99,other,140.074,140074.0
100,other,251.92149999999998,251921.49999999997
